Latest available 2017 data is November  
DEST,Description,N/A(PCT_ONTIME_ARR)
"FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",81.6300
"FCA","Kalispell, MT: Glacier Park International",86.0000
"FLG","Flagstaff, AZ: Flagstaff Pulliam",88.5200
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",76.5800
"FNL","Fort Collins/Loveland, CO: Fort Collins-Loveland Municipal",100.0000
"FNT","Flint, MI: Bishop International",80.9000
"FSD","Sioux Falls, SD: Joe Foss Field",81.3800
"FSM","Fort Smith, AR: Fort Smith Regional",81.4400
"FWA","Fort Wayne, IN: Fort Wayne International",75.6700
"GCC","Gillette, WY: Gillette Campbell County",86.8300
"GCK","Garden City, KS: Garden City Regional",86.0200
"GEG","Spokane, WA: Spokane International",81.7000
"GFK","Grand Forks, ND: Grand Forks International",87.3300
"GGG","Longview, TX: East Texas Regional",25.0000
"GJT","Grand Junction, CO: Grand Junction Regional",90.4400
"GNV","Gainesville, FL: Gainesville Regional",79.8600
"GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",84.4300
"GRB","Green Bay, WI: Green Bay Austin Straubel International",80.0000
"GRI","Grand Island, NE: Central Nebraska Regional",77.1600
"GRK","Killeen, TX: Robert Gray AAF",78.5600
"GRR","Grand Rapids, MI: Gerald R. Ford International",81.2000
"GSO","Greensboro/High Point, NC: Piedmont Triad International",79.1700
"GSP","Greer, SC: Greenville-Spartanburg International",80.6500
"GST","Gustavus, AK: Gustavus Airport",83.3300
"GTF","Great Falls, MT: Great Falls International",91.2600
"GTR","Columbus, MS: Golden Triangle Regional",79.6600
"GUC","Gunnison, CO: Gunnison-Crested Butte Regional",69.3500
"GUM","Guam, TT: Guam International",84.1300
"HDN","Hayden, CO: Yampa Valley",77.9000
"HIB","Hibbing, MN: Range Regional",91.1000
"HLN","Helena, MT: Helena Regional",89.2400
"HNL","Honolulu, HI: Daniel K Inouye International",86.7000
"HOB","Hobbs, NM: Lea County Regional",85.2900
"HOU","Houston, TX: William P Hobby",76.7400
"HPN","White Plains, NY: Westchester County",72.4800
"HRL","Harlingen/San Benito, TX: Valley International",77.1100
"HSV","Huntsville, AL: Huntsville International-Carl T Jones Field",84.7500
"HYA","Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",77.6600
"HYS","Hays, KS: Hays Regional",81.2500
"IAD","Washington, DC: Washington Dulles International",83.7500
"IAG","Niagara Falls, NY: Niagara Falls International",81.7000
"IAH","Houston, TX: George Bush Intercontinental/Houston",83.4400
"ICT","Wichita, KS: Wichita Dwight D Eisenhower National",81.2600
"IDA","Idaho Falls, ID: Idaho Falls Regional",88.0900
"IFP","Bullhead City, AZ: Laughlin/Bullhead International",81.9400
"ILM","Wilmington, NC: Wilmington International",82.2900
"IMT","Iron Mountain/Kingsfd, MI: Ford",88.4200
"IND","Indianapolis, IN: Indianapolis International",80.8900
"INL","International Falls, MN: Falls International Einarson Field",92.6300
"ISN","Williston, ND: Sloulin Field International",88.3100
"ISP","Islip, NY: Long Island MacArthur",79.8100
"ITH","Ithaca/Cortland, NY: Ithaca Tompkins Regional",84.1400
"ITO","Hilo, HI: Hilo International",90.9200
"JAC","Jackson, WY: Jackson Hole",81.5600
"JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",83.1500
"JAX","Jacksonville, FL: Jacksonville International",79.2000
"JFK","New York, NY: John F. Kennedy International",72.3100
"JLN","Joplin, MO: Joplin Regional",78.8400
"JMS","Jamestown, ND: Jamestown Regional",83.6300
"JNU","Juneau, AK: Juneau International",86.8700
"KOA","Kona, HI: Kona International Airport at Keahole",88.7800
"KTN","Ketchikan, AK: Ketchikan International",83.8300
"LAN","Lansing, MI: Capital Region International",82.4800
"LAR","Laramie, WY: Laramie Regional",84.9700
"LAS","Las Vegas, NV: McCarran International",79.6800
"LAW","Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",73.3500
"LAX","Los Angeles, CA: Los Angeles International",73.6300
"LBB","Lubbock, TX: Lubbock Preston Smith International",79.4300
"LBE","Latrobe, PA: Arnold Palmer Regional",79.0600
"LCH","Lake Charles, LA: Lake Charles Regional",84.0400
"LEX","Lexington, KY: Blue Grass",79.5600
"LFT","Lafayette, LA: Lafayette Regional Paul Fournet Field",82.6000
"LGA","New York, NY: LaGuardia",71.7600
"LGB","Long Beach, CA: Long Beach Airport",78.8900
"LIH","Lihue, HI: Lihue Airport",88.5000
"LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",81.2500
"LNK","Lincoln, NE: Lincoln Airport",83.3900
"LRD","Laredo, TX: Laredo International",82.5800
"LSE","La Crosse, WI: La Crosse Regional",79.7900
"LWS","Lewiston, ID: Lewiston Nez Perce County",93.9700
"MAF","Midland/Odessa, TX: Midland International Air and Space Port",79.5000
"MBS","Saginaw/Bay City/Midland, MI: MBS International",84.3300
"MCI","Kansas City, MO: Kansas City International",82.1000
"MCO","Orlando, FL: Orlando International",79.1100
"MDT","Harrisburg, PA: Harrisburg International",83.2900
"MDW","Chicago, IL: Chicago Midway International",82.2200
"MEI","Meridian, MS: Key Field",72.8900
"MEM","Memphis, TN: Memphis International",80.7000
"MFE","Mission/McAllen/Edinburg, TX: McAllen Miller International",82.2300
"MFR","Medford, OR: Rogue Valley International - Medford",79.7100
"MGM","Montgomery, AL: Montgomery Regional",77.0000
"MHK","Manhattan/Ft. Riley, KS: Manhattan Regional",76.4200
"MHT","Manchester, NH: Manchester-Boston Regional",79.2700
"MIA","Miami, FL: Miami International",78.9900
"MKE","Milwaukee, WI: General Mitchell International",80.5800
"MKG","Muskegon, MI: Muskegon County",81.8000
"MLB","Melbourne, FL: Melbourne International",84.8100
"MLI","Moline, IL: Quad City International",76.9200
"MLU","Monroe, LA: Monroe Regional",81.7900
"MMH","Mammoth Lakes, CA: Mammoth Lakes Airport",49.4600
"MOB","Mobile, AL: Mobile Regional",81.4400
